Name,Office,DistrictType,District,Party,Incumbent,Status,PhotoURL,Bio,Website,OfficialURL,Email,Phone,Facebook,Instagram,X,VolunteerURL,DonateURL,TopIssues,Active,Order
Andrea Allen,County Recorder,county,Utah,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Mike Smith,County Sheriff,county,Utah,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Anthony Canto,County Surveyor,county,Utah,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Kim Jackson,County Treasurer,county,Utah,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Gage Froerer,County Commissioner,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Sharon Bolos,County Commissioner,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
James H. Harvey,County Commissioner,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Chris F. Allred,County Attorney,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Ricky Hatch,County Clerk/Auditor,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Ryan Arbon,County Sheriff,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Jared L. Preisler,County Assessor,county,Weber,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Adam Snow,County Commissioner,county,Washington,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Ryan Sullivan,County Clerk/Auditor,county,Washington,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Jerry Jaeger,County Attorney,county,Washington,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Nate Brooksby,County Sheriff,county,Washington,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Tom Durrant,County Assessor,county,Washington,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Lorene Miner Kamalu,County Commissioner,county,Davis,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Bob J Stevenson,County Commissioner,county,Davis,Republican,TRUE,INCUMBENT — county officeholder (term ends Dec 2026; running for State House 16),,,,,,,,,,,,,TRUE,1
John Crofts,County Commissioner,county,Davis,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Brian McKenzie,County Clerk,county,Davis,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Troy Rawlings,County Attorney,county,Davis,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
Scott Parke,County Controller,county,Davis,,TRUE,INCUMBENT — county officeholder,,,,,,,,,,,,,TRUE,1
